"Notes"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Cancer Sites"	"Cancer Sites Code"	Count	Population	Crude Rate
	" Albany-Schenectady-Troy, NY  "	"10580"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	30	15416	194.6
	" Albany-Schenectady-Troy, NY  "	"10580"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	33	13978	236.1
	" Albany-Schenectady-Troy, NY  "	"10580"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	44	14961	294.1
	" Albany-Schenectady-Troy, NY  "	"10580"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	65	12835	506.4
	" Albany-Schenectady-Troy, NY  "	"10580"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	61	15570	391.8
	" Albany-Schenectady-Troy, NY  "	"10580"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	62	12246	506.3
	" Albany-Schenectady-Troy, NY  "	"10580"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	46	14217	323.6
	" Albany-Schenectady-Troy, NY  "	"10580"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	62	9678	640.6
	" Albany-Schenectady-Troy, NY  "	"10580"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	51	10993	463.9
	" Albany-Schenectady-Troy, NY  "	"10580"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	31	6224	498.1
	" Albany-Schenectady-Troy, NY  "	"10580"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	28	10670	262.4
	" Albany-Schenectady-Troy, NY  "	"10580"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	33	3958	833.8
	" Albuquerque, NM  "	"10740"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	17	15829	107.4
	" Albuquerque, NM  "	"10740"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	19	14718	129.1
	" Albuquerque, NM  "	"10740"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	17	11471	148.2
	" Albuquerque, NM  "	"10740"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	24	10040	239.0
	" Albuquerque, NM  "	"10740"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	31	10783	287.5
	" Albuquerque, NM  "	"10740"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	37	8567	431.9
	" Albuquerque, NM  "	"10740"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	28	9408	297.6
	" Albuquerque, NM  "	"10740"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	30	6868	436.8
	" Albuquerque, NM  "	"10740"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	21	4282	490.4
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	18	23104	77.9
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	20	22409	89.2
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	31	17444	177.7
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	22	14904	147.6
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	44	13754	319.9
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	38	15310	248.2
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	73	12826	569.2
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	48	16627	288.7
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	76	12447	610.6
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	42	14698	285.8
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	71	9876	718.9
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	30	11189	268.1
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	31	6352	488.0
	" Allentown-Bethlehem-Easton, PA-NJ  "	"10900"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	19	3913	485.6
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	17	118466	14.4
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	16	44711	35.8
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	27	121816	22.2
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	24	105267	22.8
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	31	35569	87.2
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	32	103979	30.8
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	18	31118	57.8
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	64	96452	66.4
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	37	25569	144.7
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	71	94012	75.5
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	18	20119	89.5
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	78	68280	114.2
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	44	16547	265.9
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	130	68434	190.0
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	26	14849	175.1
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	80	49953	160.2
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	35	11451	305.7
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	139	47672	291.6
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	29	11734	247.1
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	137	41409	330.8
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	38	8119	468.0
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	186	36622	507.9
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	27	9223	292.7
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	138	37348	369.5
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	25	5438	459.7
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	186	28384	655.3
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	114	32603	349.7
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	25	3682	679.0
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	131	20866	627.8
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	67	22565	296.9
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	19	2106	902.2
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	84	11742	715.4
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	29	21449	135.2
	" Atlanta-Sandy Springs-Roswell, GA  "	"12060"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	37	7224	512.2
	" Augusta-Richmond County, GA-SC  "	"12260"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	23	8298	277.2
	" Augusta-Richmond County, GA-SC  "	"12260"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	18	7007	256.9
	" Augusta-Richmond County, GA-SC  "	"12260"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	28	6480	432.1
	" Augusta-Richmond County, GA-SC  "	"12260"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	18	6574	273.8
	" Augusta-Richmond County, GA-SC  "	"12260"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	30	5661	529.9
	" Augusta-Richmond County, GA-SC  "	"12260"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	19	6186	307.1
	" Augusta-Richmond County, GA-SC  "	"12260"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	33	4831	683.1
	" Augusta-Richmond County, GA-SC  "	"12260"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	19	5095	372.9
	" Augusta-Richmond County, GA-SC  "	"12260"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	35	3500	1000.0
	" Austin-Round Rock, TX  "	"12420"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	18	29214	61.6
	" Austin-Round Rock, TX  "	"12420"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	20	19494	102.6
	" Austin-Round Rock, TX  "	"12420"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	20	19099	104.7
	" Austin-Round Rock, TX  "	"12420"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	24	14757	162.6
	" Austin-Round Rock, TX  "	"12420"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	39	13486	289.2
	" Austin-Round Rock, TX  "	"12420"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	27	12354	218.6
	" Austin-Round Rock, TX  "	"12420"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	46	11202	410.6
	" Austin-Round Rock, TX  "	"12420"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	36	11280	319.1
	" Austin-Round Rock, TX  "	"12420"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	40	8885	450.2
	" Austin-Round Rock, TX  "	"12420"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	26	9574	271.6
	" Austin-Round Rock, TX  "	"12420"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	50	6869	727.9
	" Austin-Round Rock, TX  "	"12420"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	16	6671	239.8
	" Austin-Round Rock, TX  "	"12420"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	32	3969	806.2
	" Bakersfield, CA  "	"12540"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	16	14490	110.4
	" Bakersfield, CA  "	"12540"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	17	11342	149.9
	" Bakersfield, CA  "	"12540"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	20	9459	211.4
	" Bakersfield, CA  "	"12540"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	22	9016	244.0
	" Bakersfield, CA  "	"12540"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	29	8558	338.9
	" Bakersfield, CA  "	"12540"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	29	7738	374.8
	" Bakersfield, CA  "	"12540"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	22	8084	272.1
	" Bakersfield, CA  "	"12540"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	41	6635	617.9
	" Bakersfield, CA  "	"12540"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	24	6742	356.0
	" Bakersfield, CA  "	"12540"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	39	5147	757.7
	" Bakersfield, CA  "	"12540"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	19	4463	425.7
	" Bakersfield, CA  "	"12540"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	20	2969	673.6
	" Baltimore-Columbia-Towson, MD  "	"12580"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	27	67710	39.9
	" Baltimore-Columbia-Towson, MD  "	"12580"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	17	21272	79.9
	" Baltimore-Columbia-Towson, MD  "	"12580"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	33	66205	49.8
	" Baltimore-Columbia-Towson, MD  "	"12580"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	40	61686	64.8
	" Baltimore-Columbia-Towson, MD  "	"12580"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	23	17312	132.9
	" Baltimore-Columbia-Towson, MD  "	"12580"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	47	60615	77.5
	" Baltimore-Columbia-Towson, MD  "	"12580"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	18	15958	112.8
	" Baltimore-Columbia-Towson, MD  "	"12580"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	58	47286	122.7
	" Baltimore-Columbia-Towson, MD  "	"12580"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	37	12630	293.0
	" Baltimore-Columbia-Towson, MD  "	"12580"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	87	45840	189.8
	" Baltimore-Columbia-Towson, MD  "	"12580"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	31	13308	232.9
	" Baltimore-Columbia-Towson, MD  "	"12580"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	96	36243	264.9
	" Baltimore-Columbia-Towson, MD  "	"12580"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	56	10077	555.7
	" Baltimore-Columbia-Towson, MD  "	"12580"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	103	34128	301.8
	" Baltimore-Columbia-Towson, MD  "	"12580"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	35	11710	298.9
	" Baltimore-Columbia-Towson, MD  "	"12580"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	124	33441	370.8
	" Baltimore-Columbia-Towson, MD  "	"12580"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	43	8522	504.6
	" Baltimore-Columbia-Towson, MD  "	"12580"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	156	28900	539.8
	" Baltimore-Columbia-Towson, MD  "	"12580"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	36	10085	357.0
	" Baltimore-Columbia-Towson, MD  "	"12580"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	122	34838	350.2
	" Baltimore-Columbia-Towson, MD  "	"12580"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	46	6566	700.6
	" Baltimore-Columbia-Towson, MD  "	"12580"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	172	26810	641.6
	" Baltimore-Columbia-Towson, MD  "	"12580"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	31	7860	394.4
	" Baltimore-Columbia-Towson, MD  "	"12580"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	139	32136	432.5
	" Baltimore-Columbia-Towson, MD  "	"12580"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	43	4747	905.8
	" Baltimore-Columbia-Towson, MD  "	"12580"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	142	21440	662.3
	" Baltimore-Columbia-Towson, MD  "	"12580"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	80	21854	366.1
	" Baltimore-Columbia-Towson, MD  "	"12580"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	91	12572	723.8
	" Baltimore-Columbia-Towson, MD  "	"12580"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	38	19432	195.6
	" Baltimore-Columbia-Towson, MD  "	"12580"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	45	7454	603.7
	" Baton Rouge, LA  "	"12940"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	22	14301	153.8
	" Baton Rouge, LA  "	"12940"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	17	11265	150.9
	" Baton Rouge, LA  "	"12940"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	24	10863	220.9
	" Baton Rouge, LA  "	"12940"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	18	2825	637.2
	" Baton Rouge, LA  "	"12940"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	17	8285	205.2
	" Baton Rouge, LA  "	"12940"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	25	7775	321.5
	" Baton Rouge, LA  "	"12940"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	"Respiratory System"	"22010-22060"	17	2219	766.1
	" Baton Rouge, LA  "	"12940"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	36	6718	535.9
	" Baton Rouge, LA  "	"12940"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	23	7558	304.3
	" Baton Rouge, LA  "	"12940"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	59	5851	1008.4
	" Baton Rouge, LA  "	"12940"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	"Respiratory System"	"22010-22060"	34	6350	535.4
