States,States Code,Age Groups,Age Groups Code,Cancer Sites,Cancer Sites Code,Race,Race Code,Count,Population,Crude Rate
Arkansas,5,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,32,15545,205.9
Arkansas,5,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,241,133999,179.9
Arkansas,5,60-64 years ,60-64,Larynx,22020,White,2106-3,27,111378,24.2
Arkansas,5,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,26,12066,215.5
Arkansas,5,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,327,111378,293.6
Arkansas,5,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,37,10039,368.6
Arkansas,5,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,372,95495,389.5
Arkansas,5,70-74 years,70-74,Larynx,22020,White,2106-3,21,82472,25.5
Arkansas,5,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,29,8524,340.2
Arkansas,5,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,392,82472,475.3
Arkansas,5,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,27,7416,364.1
Arkansas,5,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,360,68794,523.3
Arkansas,5,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,20,5156,387.9
Arkansas,5,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,202,48728,414.5
Arkansas,5,85+ years,85+,Lung and Bronchus,22030,White,2106-3,95,40676,233.6
California,6,30-34 years,30-34,Lung and Bronchus,22030,White,2106-3,21,2097605,1
California,6,35-39 years,35-39,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,17,371334,4.6
California,6,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,44,2125769,2.1
California,6,40-44 years,40-44,Larynx,22020,White,2106-3,18,2147201,0.8
California,6,40-44 years,40-44,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,23,360856,6.4
California,6,40-44 years,40-44,Lung and Bronchus,22030,Black or African American,2054-5,22,207880,10.6
California,6,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,164,2147201,7.6
California,6,45-49 years,45-49,Larynx,22020,White,2106-3,33,1938125,1.7
California,6,45-49 years,45-49,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,51,336984,15.1
California,6,45-49 years,45-49,Lung and Bronchus,22030,Black or African American,2054-5,71,175103,40.5
California,6,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,357,1938125,18.4
California,6,50-54 years,50-54,"Nose, Nasal Cavity and Middle Ear",22010,White,2106-3,17,1675061,1
California,6,50-54 years,50-54,Larynx,22020,White,2106-3,54,1675061,3.2
California,6,50-54 years,50-54,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,84,291261,28.8
California,6,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,125,144507,86.5
California,6,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,686,1675061,41
California,6,55-59 years,55-59,Larynx,22020,Black or African American,2054-5,19,104177,18.2
California,6,55-59 years,55-59,Larynx,22020,White,2106-3,84,1349485,6.2
California,6,55-59 years,55-59,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,103,203307,50.7
California,6,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,157,104177,150.7
California,6,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,1168,1349485,86.6
California,6,60-64 years ,60-64,"Nose, Nasal Cavity and Middle Ear",22010,White,2106-3,16,978766,1.6
California,6,60-64 years ,60-64,Larynx,22020,Black or African American,2054-5,18,81839,22
California,6,60-64 years ,60-64,Larynx,22020,White,2106-3,114,978766,11.6
California,6,60-64 years ,60-64,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,152,159401,95.4
California,6,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,188,81839,229.7
California,6,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,1649,978766,168.5
California,6,65-69 years,65-69,"Nose, Nasal Cavity and Middle Ear",22010,White,2106-3,20,798097,2.5
California,6,65-69 years,65-69,Larynx,22020,Black or African American,2054-5,17,66425,25.6
California,6,65-69 years,65-69,Larynx,22020,White,2106-3,123,798097,15.4
California,6,65-69 years,65-69,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,190,134195,141.6
California,6,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,226,66425,340.2
California,6,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,2055,798097,257.5
California,6,70-74 years,70-74,Larynx,22020,White,2106-3,129,731569,17.6
California,6,70-74 years,70-74,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,216,111378,193.9
California,6,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,187,49545,377.4
California,6,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,2641,731569,361
California,6,75-79 years,75-79,"Nose, Nasal Cavity and Middle Ear",22010,White,2106-3,24,654124,3.7
California,6,75-79 years,75-79,Larynx,22020,White,2106-3,101,654124,15.4
California,6,75-79 years,75-79,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,236,85906,274.7
California,6,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,166,38519,431
California,6,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,2730,654124,417.4
California,6,80-84 years,80-84,"Nose, Nasal Cavity and Middle Ear",22010,White,2106-3,19,475189,4
California,6,80-84 years,80-84,Larynx,22020,White,2106-3,70,475189,14.7
California,6,80-84 years,80-84,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,178,51816,343.5
California,6,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,95,24901,381.5
California,6,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,1948,475189,409.9
California,6,85+ years,85+,Larynx,22020,White,2106-3,42,388486,10.8
California,6,85+ years,85+,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,102,35788,285
California,6,85+ years,85+,Lung and Bronchus,22030,Black or African American,2054-5,43,20085,214.1
California,6,85+ years,85+,Lung and Bronchus,22030,White,2106-3,1242,388486,319.7
Colorado,8,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,21,348163,6
Colorado,8,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,62,328895,18.9
Colorado,8,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,104,285996,36.4
Colorado,8,55-59 years,55-59,Larynx,22020,White,2106-3,18,214491,8.4
Colorado,8,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,157,214491,73.2
Colorado,8,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,209,149732,139.6
Colorado,8,65-69 years,65-69,Larynx,22020,White,2106-3,23,116790,19.7
Colorado,8,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,20,4203,475.9
Colorado,8,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,282,116790,241.5
Colorado,8,70-74 years,70-74,Larynx,22020,White,2106-3,20,101488,19.7
Colorado,8,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,386,101488,380.3
Colorado,8,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,318,83657,380.1
Colorado,8,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,249,59371,419.4
Colorado,8,85+ years,85+,Lung and Bronchus,22030,White,2106-3,155,48877,317.1
Connecticut,9,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,18,236926,7.6
Connecticut,9,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,36,259610,13.9
Connecticut,9,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,64,240396,26.6
Connecticut,9,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,16,19113,83.7
Connecticut,9,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,126,209277,60.2
Connecticut,9,55-59 years,55-59,Larynx,22020,White,2106-3,18,180730,10
Connecticut,9,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,18,14760,122
Connecticut,9,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,198,180730,109.6
Connecticut,9,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,24,11231,213.7
Connecticut,9,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,253,126691,199.7
Connecticut,9,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,30,8579,349.7
Connecticut,9,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,348,104165,334.1
Connecticut,9,70-74 years,70-74,Larynx,22020,White,2106-3,30,103003,29.1
Connecticut,9,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,20,6447,310.2
Connecticut,9,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,462,103003,448.5
Connecticut,9,75-79 years,75-79,Larynx,22020,White,2106-3,21,94181,22.3
Connecticut,9,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,23,4834,475.8
Connecticut,9,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,418,94181,443.8
Connecticut,9,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,308,73990,416.3
Connecticut,9,85+ years,85+,Lung and Bronchus,22030,White,2106-3,210,65783,319.2
Delaware,10,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,17,46232,36.8
Delaware,10,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,38,41539,91.5
Delaware,10,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,40,36605,109.3
Delaware,10,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,82,29247,280.4
Delaware,10,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,76,25273,300.7
Delaware,10,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,108,23673,456.2
Delaware,10,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,88,19204,458.2
Delaware,10,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,49,13221,370.6
Delaware,10,85+ years,85+,Lung and Bronchus,22030,White,2106-3,26,10050,258.7
District of Columbia,11,45-49 years,45-49,Lung and Bronchus,22030,Black or African American,2054-5,19,25937,73.3
District of Columbia,11,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,26,23220,112
District of Columbia,11,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,31,17567,176.5
District of Columbia,11,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,31,14957,207.3
District of Columbia,11,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,45,12552,358.5
District of Columbia,11,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,45,11562,389.2
District of Columbia,11,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,19,4269,445.1
District of Columbia,11,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,36,10251,351.2
District of Columbia,11,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,16,4048,395.3
District of Columbia,11,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,27,7038,383.6
Florida,12,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,42,998835,4.2
Florida,12,40-44 years,40-44,Larynx,22020,White,2106-3,32,1058164,3
Florida,12,40-44 years,40-44,Lung and Bronchus,22030,Black or African American,2054-5,30,200511,15
Florida,12,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,198,1058164,18.7
Florida,12,45-49 years,45-49,Larynx,22020,White,2106-3,42,976362,4.3
Florida,12,45-49 years,45-49,Lung and Bronchus,22030,Black or African American,2054-5,72,173552,41.5
Florida,12,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,391,976362,40
Florida,12,50-54 years,50-54,Larynx,22020,White,2106-3,79,898613,8.8
Florida,12,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,103,137669,74.8
Florida,12,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,699,898613,77.8
Florida,12,55-59 years,55-59,Larynx,22020,White,2106-3,108,817114,13.2
Florida,12,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,159,99550,159.7
Florida,12,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,1138,817114,139.3
Florida,12,60-64 years ,60-64,"Nose, Nasal Cavity and Middle Ear",22010,White,2106-3,23,703135,3.3
Florida,12,60-64 years ,60-64,Larynx,22020,Black or African American,2054-5,22,78586,28
Florida,12,60-64 years ,60-64,Larynx,22020,White,2106-3,134,703135,19.1
Florida,12,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,159,78586,202.3
Florida,12,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,1592,703135,226.4
Florida,12,65-69 years,65-69,Larynx,22020,White,2106-3,145,662657,21.9
Florida,12,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,178,65249,272.8
Florida,12,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,2291,662657,345.7
Florida,12,70-74 years,70-74,"Nose, Nasal Cavity and Middle Ear",22010,White,2106-3,28,664214,4.2
Florida,12,70-74 years,70-74,Larynx,22020,Black or African American,2054-5,17,49658,34.2
Florida,12,70-74 years,70-74,Larynx,22020,White,2106-3,139,664214,20.9
Florida,12,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,156,49658,314.1
Florida,12,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,2798,664214,421.2
Florida,12,75-79 years,75-79,"Nose, Nasal Cavity and Middle Ear",22010,White,2106-3,17,581419,2.9
Florida,12,75-79 years,75-79,Larynx,22020,White,2106-3,124,581419,21.3
Florida,12,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,122,36154,337.4
Florida,12,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,2704,581419,465.1
Florida,12,80-84 years,80-84,Larynx,22020,White,2106-3,76,411411,18.5
Florida,12,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,67,22244,301.2
Florida,12,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,1850,411411,449.7
Florida,12,85+ years,85+,Larynx,22020,White,2106-3,54,318916,16.9
Florida,12,85+ years,85+,Lung and Bronchus,22030,Black or African American,2054-5,40,18236,219.3
Florida,12,85+ years,85+,Lung and Bronchus,22030,White,2106-3,1129,318916,354
Georgia,13,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,26,458225,5.7
Georgia,13,40-44 years,40-44,Lung and Bronchus,22030,Black or African American,2054-5,41,199125,20.6
Georgia,13,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,81,463912,17.5
Georgia,13,45-49 years,45-49,Larynx,22020,White,2106-3,19,424408,4.5
Georgia,13,45-49 years,45-49,Lung and Bronchus,22030,Black or African American,2054-5,74,172865,42.8
Georgia,13,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,161,424408,37.9
Georgia,13,50-54 years,50-54,Larynx,22020,Black or African American,2054-5,16,139438,11.5
Georgia,13,50-54 years,50-54,Larynx,22020,White,2106-3,26,388070,6.7
Georgia,13,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,127,139438,91.1
Georgia,13,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,279,388070,71.9
Georgia,13,55-59 years,55-59,Larynx,22020,Black or African American,2054-5,18,92821,19.4
Georgia,13,55-59 years,55-59,Larynx,22020,White,2106-3,35,326876,10.7
Georgia,13,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,137,92821,147.6
Georgia,13,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,494,326876,151.1
Georgia,13,60-64 years ,60-64,Larynx,22020,White,2106-3,43,239268,18
Georgia,13,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,150,66916,224.2
Georgia,13,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,604,239268,252.4
Georgia,13,65-69 years,65-69,Larynx,22020,Black or African American,2054-5,17,52040,32.7
Georgia,13,65-69 years,65-69,Larynx,22020,White,2106-3,49,190345,25.7
Georgia,13,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,165,52040,317.1
Georgia,13,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,751,190345,394.5
Georgia,13,70-74 years,70-74,Larynx,22020,White,2106-3,43,160132,26.9
Georgia,13,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,132,39648,332.9
Georgia,13,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,795,160132,496.5
Georgia,13,75-79 years,75-79,Larynx,22020,White,2106-3,23,129404,17.8
Georgia,13,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,112,29938,374.1
Georgia,13,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,640,129404,494.6
Georgia,13,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,66,20819,317
Georgia,13,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,373,90020,414.4
Georgia,13,85+ years,85+,Lung and Bronchus,22030,Black or African American,2054-5,44,18452,238.5
Georgia,13,85+ years,85+,Lung and Bronchus,22030,White,2106-3,201,70585,284.8
Hawaii,15,50-54 years,50-54,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,25,58417,42.8
Hawaii,15,55-59 years,55-59,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,41,47946,85.5
Hawaii,15,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,25,20996,119.1
Hawaii,15,60-64 years ,60-64,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,55,35781,153.7
Hawaii,15,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,27,14054,192.1
Hawaii,15,65-69 years,65-69,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,66,31822,207.4
Hawaii,15,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,18,10591,170
Hawaii,15,70-74 years,70-74,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,79,31886,247.8
Hawaii,15,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,36,9388,383.5
Hawaii,15,75-79 years,75-79,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,89,28089,316.9
Hawaii,15,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,30,8550,350.9
Hawaii,15,80-84 years,80-84,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,56,18888,296.5
Hawaii,15,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,21,5651,371.6
Hawaii,15,85+ years,85+,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,50,15153,330
Idaho,16,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,18,94265,19.1
Idaho,16,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,22,83204,26.4
Idaho,16,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,54,66534,81.2
Idaho,16,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,80,51205,156.2
Idaho,16,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,113,41676,271.1
Idaho,16,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,117,35802,326.8
Idaho,16,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,134,30276,442.6
Idaho,16,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,70,22781,307.3
Idaho,16,85+ years,85+,Lung and Bronchus,22030,White,2106-3,48,18803,255.3
Illinois,17,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,31,759619,4.1
Illinois,17,40-44 years,40-44,Larynx,22020,White,2106-3,20,809482,2.5
Illinois,17,40-44 years,40-44,Lung and Bronchus,22030,Black or African American,2054-5,41,146794,27.9
Illinois,17,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,119,809482,14.7
Illinois,17,45-49 years,45-49,Larynx,22020,White,2106-3,28,747879,3.7
Illinois,17,45-49 years,45-49,Lung and Bronchus,22030,Black or African American,2054-5,83,128338,64.7
Illinois,17,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,226,747879,30.2
Illinois,17,50-54 years,50-54,Larynx,22020,White,2106-3,37,656037,5.6
Illinois,17,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,98,108853,90
Illinois,17,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,357,656037,54.4
Illinois,17,55-59 years,55-59,Larynx,22020,Black or African American,2054-5,21,79829,26.3
Illinois,17,55-59 years,55-59,Larynx,22020,White,2106-3,73,527900,13.8
Illinois,17,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,147,79829,184.1
Illinois,17,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,622,527900,117.8
Illinois,17,60-64 years ,60-64,Larynx,22020,White,2106-3,65,403571,16.1
Illinois,17,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,195,64414,302.7
Illinois,17,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,898,403571,222.5
Illinois,17,65-69 years,65-69,"Nose, Nasal Cavity and Middle Ear",22010,White,2106-3,16,329367,4.9
Illinois,17,65-69 years,65-69,Larynx,22020,Black or African American,2054-5,18,53689,33.5
Illinois,17,65-69 years,65-69,Larynx,22020,White,2106-3,67,329367,20.3
Illinois,17,65-69 years,65-69,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,16,12012,133.2
Illinois,17,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,209,53689,389.3
Illinois,17,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,1105,329367,335.5
Illinois,17,70-74 years,70-74,Larynx,22020,White,2106-3,66,311122,21.2
Illinois,17,70-74 years,70-74,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,24,8335,287.9
Illinois,17,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,180,42405,424.5
Illinois,17,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,1363,311122,438.1
Illinois,17,75-79 years,75-79,Larynx,22020,White,2106-3,47,276349,17
Illinois,17,75-79 years,75-79,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,16,5858,273.1
Illinois,17,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,175,32617,536.5
Illinois,17,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,1385,276349,501.2
Illinois,17,80-84 years,80-84,Larynx,22020,White,2106-3,38,205034,18.5
Illinois,17,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,86,19558,439.7
Illinois,17,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,928,205034,452.6
Illinois,17,85+ years,85+,Larynx,22020,White,2106-3,26,179177,14.5
Illinois,17,85+ years,85+,Lung and Bronchus,22030,Black or African American,2054-5,49,15158,323.3
Illinois,17,85+ years,85+,Lung and Bronchus,22030,White,2106-3,597,179177,333.2
