,Cancer,Gender,Larynx,Lung,Nasal,Race,State,Trachea,Year
178,Larynx,Female,64.9,,,Black or African American,OH,,2015
179,Larynx,Female,64.86476691949808,,,Black or African American,OH,,2016
180,Larynx,Female,37.38348363191663,,,Black or African American,OH,,2017
181,Larynx,Female,61.289770945539026,,,Black or African American,OH,,2018
182,Larynx,Female,0.0,,,Black or African American,OH,,2019
183,Larynx,Female,28.318470454025974,,,Black or African American,OH,,2020
184,Larynx,Female,29.4866673147396,,,Black or African American,OH,,2021
185,Larynx,Female,0.0,,,Black or African American,OH,,2022
186,Larynx,Female,63.19817653576558,,,Black or African American,OH,,2023
187,Larynx,Female,0.0,,,Black or African American,OH,,2024
188,Larynx,Female,0.0,,,Black or African American,OH,,2025
189,Larynx,Male,105.3,,,White,ME,,1999
190,Larynx,Male,108.7,,,White,ME,,2000
191,Larynx,Male,106.1,,,White,ME,,2001
192,Larynx,Male,103.7,,,White,ME,,2002
193,Larynx,Male,107.6,,,White,ME,,2003
194,Larynx,Male,110.9,,,White,ME,,2004
195,Larynx,Male,107.2,,,White,ME,,2005
196,Larynx,Male,108.3,,,White,ME,,2006
197,Larynx,Male,109.3,,,White,ME,,2007
198,Larynx,Male,105.2,,,White,ME,,2008
199,Larynx,Male,111.2,,,White,ME,,2009
200,Larynx,Male,105.6,,,White,ME,,2010
201,Larynx,Male,102.0,,,White,ME,,2011
202,Larynx,Male,111.1,,,White,ME,,2012
203,Larynx,Male,120.3,,,White,ME,,2013
204,Larynx,Male,111.5,,,White,ME,,2014
205,Larynx,Male,107.2,,,White,ME,,2015
206,Larynx,Male,106.81051637735763,,,White,ME,,2016
207,Larynx,Male,60.633879516866344,,,White,ME,,2017
208,Larynx,Male,158.1245133496692,,,White,ME,,2018
209,Larynx,Male,114.45542480841189,,,White,ME,,2019
210,Larynx,Male,70.55548717775264,,,White,ME,,2020
211,Larynx,Male,107.6835429830715,,,White,ME,,2021
212,Larynx,Male,11.444948153099544,,,White,ME,,2022
213,Larynx,Male,30.817508728936826,,,White,ME,,2023
214,Larynx,Male,139.8347910049888,,,White,ME,,2024
215,Larynx,Male,0.10007252270315804,,,White,ME,,2025
216,Nasal,Female,,,0.8,White,PA,,1999
217,Nasal,Female,,,0.8,White,PA,,2000
218,Nasal,Female,,,0.6,White,PA,,2001
219,Nasal,Female,,,0.7,White,PA,,2002
220,Nasal,Female,,,0.6,White,PA,,2003
221,Nasal,Female,,,0.8,White,PA,,2004
222,Nasal,Female,,,0.9,White,PA,,2005
223,Nasal,Female,,,0.6,White,PA,,2006
224,Nasal,Female,,,0.8,White,PA,,2007
225,Nasal,Female,,,0.5,White,PA,,2008
226,Nasal,Female,,,0.7,White,PA,,2009
227,Nasal,Female,,,0.8,White,PA,,2010
228,Nasal,Female,,,0.6,White,PA,,2011
229,Nasal,Female,,,0.9,White,PA,,2012
230,Nasal,Female,,,0.9,White,PA,,2013
231,Nasal,Female,,,0.9,White,PA,,2014
232,Nasal,Female,,,0.7,White,PA,,2015
233,Nasal,Female,,,0.6529384844949145,White,PA,,2016
234,Nasal,Female,,,0.5707840672542056,White,PA,,2017
235,Nasal,Female,,,0.6737129238618127,White,PA,,2018
236,Nasal,Female,,,0.5908202377838443,White,PA,,2019
237,Nasal,Female,,,0.6551011892166244,White,PA,,2020
238,Nasal,Female,,,0.0,White,PA,,2021
239,Nasal,Female,,,0.409350175665836,White,PA,,2022
240,Nasal,Female,,,0.12330034148387314,White,PA,,2023
241,Nasal,Female,,,0.2907786171905764,White,PA,,2024
242,Nasal,Female,,,0.28549635640860976,White,PA,,2025
243,Lung,Female,,1.3,,White,MN,,1999
244,Lung,Female,,1.3,,White,MN,,2000
245,Lung,Female,,1.3,,White,MN,,2001
246,Lung,Female,,1.2,,White,MN,,2002
247,Lung,Female,,1.3,,White,MN,,2003
248,Lung,Female,,1.3,,White,MN,,2004
249,Lung,Female,,1.5,,White,MN,,2005
250,Lung,Female,,1.4,,White,MN,,2006
251,Lung,Female,,1.6,,White,MN,,2007
252,Lung,Female,,1.6,,White,MN,,2008
253,Lung,Female,,0.9,,White,MN,,2009
254,Lung,Female,,1.3,,White,MN,,2010
255,Lung,Female,,1.5,,White,MN,,2011
256,Lung,Female,,1.2,,White,MN,,2012
257,Lung,Female,,1.3,,White,MN,,2013
258,Lung,Female,,1.3,,White,MN,,2014
259,Lung,Female,,1.5,,White,MN,,2015
260,Lung,Female,,1.4900760363771028,,White,MN,,2016
261,Lung,Female,,0.7133536478635436,,White,MN,,2017
262,Lung,Female,,1.4792569050575404,,White,MN,,2018
263,Lung,Female,,0.4365989502220794,,White,MN,,2019
264,Lung,Female,,0.5986650989531175,,White,MN,,2020
265,Lung,Female,,0.6308079140831091,,White,MN,,2021
266,Lung,Female,,0.0,,White,MN,,2022
267,Lung,Female,,0.8728929400983612,,White,MN,,2023
268,Lung,Female,,0.0,,White,MN,,2024
269,Lung,Female,,0.015639197508583447,,White,MN,,2025
270,Larynx,Female,55.9,,,Black or African American,PA,,1999
271,Larynx,Female,55.1,,,Black or African American,PA,,2000
272,Larynx,Female,64.5,,,Black or African American,PA,,2001
273,Larynx,Female,66.8,,,Black or African American,PA,,2002
274,Larynx,Female,62.5,,,Black or African American,PA,,2003
275,Larynx,Female,62.6,,,Black or African American,PA,,2004
276,Larynx,Female,66.6,,,Black or African American,PA,,2005
277,Larynx,Female,66.5,,,Black or African American,PA,,2006
278,Larynx,Female,63.8,,,Black or African American,PA,,2007
279,Larynx,Female,66.7,,,Black or African American,PA,,2008
280,Larynx,Female,69.0,,,Black or African American,PA,,2009
281,Larynx,Female,68.6,,,Black or African American,PA,,2010
282,Larynx,Female,64.8,,,Black or African American,PA,,2011
283,Larynx,Female,61.6,,,Black or African American,PA,,2012
284,Larynx,Female,67.1,,,Black or African American,PA,,2013
285,Larynx,Female,62.7,,,Black or African American,PA,,2014
286,Larynx,Female,66.3,,,Black or African American,PA,,2015
287,Larynx,Female,59.572887243313644,,,Black or African American,PA,,2016
288,Larynx,Female,52.94735093494092,,,Black or African American,PA,,2017
289,Larynx,Female,13.981790024125731,,,Black or African American,PA,,2018
290,Larynx,Female,62.92319433809197,,,Black or African American,PA,,2019
291,Larynx,Female,0.0,,,Black or African American,PA,,2020
292,Larynx,Female,101.41091186286707,,,Black or African American,PA,,2021
293,Larynx,Female,0.0,,,Black or African American,PA,,2022
294,Larynx,Female,253.78987472105342,,,Black or African American,PA,,2023
295,Larynx,Female,0.0,,,Black or African American,PA,,2024
296,Larynx,Female,650.707201769932,,,Black or African American,PA,,2025
297,Nasal,Female,,,0.6,White,TX,,1999
298,Nasal,Female,,,0.5,White,TX,,2000
299,Nasal,Female,,,0.6,White,TX,,2001
300,Nasal,Female,,,0.6,White,TX,,2002
301,Nasal,Female,,,0.5,White,TX,,2003
302,Nasal,Female,,,0.6,White,TX,,2004
303,Nasal,Female,,,0.6,White,TX,,2005
304,Nasal,Female,,,0.6,White,TX,,2006
305,Nasal,Female,,,0.5,White,TX,,2007
306,Nasal,Female,,,0.5,White,TX,,2008
307,Nasal,Female,,,0.5,White,TX,,2009
308,Nasal,Female,,,0.5,White,TX,,2010
309,Nasal,Female,,,0.4,White,TX,,2011
310,Nasal,Female,,,0.5,White,TX,,2012
311,Nasal,Female,,,0.5,White,TX,,2013
312,Nasal,Female,,,0.4,White,TX,,2014
313,Nasal,Female,,,0.4,White,TX,,2015
314,Nasal,Female,,,0.4502890173410408,White,TX,,2016
315,Nasal,Female,,,0.2664713154465577,White,TX,,2017
316,Nasal,Female,,,0.27534260215457784,White,TX,,2018
317,Nasal,Female,,,0.1464822536295804,White,TX,,2019
318,Nasal,Female,,,0.00743606454503823,White,TX,,2020
319,Nasal,Female,,,0.06487521162310607,White,TX,,2021
320,Nasal,Female,,,0.03562805803772422,White,TX,,2022
321,Nasal,Female,,,0.0,White,TX,,2023
322,Nasal,Female,,,0.0,White,TX,,2024
323,Nasal,Female,,,0.003561616239083035,White,TX,,2025
324,Larynx,Male,89.7,,,Black or African American,MO,,1999
325,Larynx,Male,81.8,,,Black or African American,MO,,2000
326,Larynx,Male,74.6,,,Black or African American,MO,,2001
327,Larynx,Male,85.6,,,Black or African American,MO,,2002
328,Larynx,Male,73.6,,,Black or African American,MO,,2003
329,Larynx,Male,79.4,,,Black or African American,MO,,2004
330,Larynx,Male,84.4,,,Black or African American,MO,,2005
331,Larynx,Male,77.9,,,Black or African American,MO,,2006
332,Larynx,Male,71.6,,,Black or African American,MO,,2007
333,Larynx,Male,70.5,,,Black or African American,MO,,2008
334,Larynx,Male,74.8,,,Black or African American,MO,,2009
335,Larynx,Male,67.0,,,Black or African American,MO,,2010
336,Larynx,Male,81.7,,,Black or African American,MO,,2011
337,Larynx,Male,80.0,,,Black or African American,MO,,2012
338,Larynx,Male,79.9,,,Black or African American,MO,,2013
339,Larynx,Male,71.0,,,Black or African American,MO,,2014
340,Larynx,Male,76.0,,,Black or African American,MO,,2015
341,Larynx,Male,65.9214128872082,,,Black or African American,MO,,2016
342,Larynx,Male,43.468387806971684,,,Black or African American,MO,,2017
343,Larynx,Male,47.50686876546368,,,Black or African American,MO,,2018
344,Larynx,Male,50.70585495066638,,,Black or African American,MO,,2019
345,Larynx,Male,45.06867004927746,,,Black or African American,MO,,2020
346,Larynx,Male,59.726936735959036,,,Black or African American,MO,,2021
347,Larynx,Male,0.869938368404533,,,Black or African American,MO,,2022
348,Larynx,Male,25.014054600983854,,,Black or African American,MO,,2023
349,Larynx,Male,0.0,,,Black or African American,MO,,2024
350,Larynx,Male,30.37738041224887,,,Black or African American,MO,,2025
351,Lung,Female,,1.6,,Black or African American,TX,,1999
352,Lung,Female,,1.6,,Black or African American,TX,,2000
353,Lung,Female,,1.6,,Black or African American,TX,,2001
354,Lung,Female,,1.6,,Black or African American,TX,,2002
355,Lung,Female,,2.0,,Black or African American,TX,,2003
356,Lung,Female,,1.4,,Black or African American,TX,,2004
357,Lung,Female,,1.3,,Black or African American,TX,,2005
358,Lung,Female,,1.5,,Black or African American,TX,,2006
359,Lung,Female,,2.3,,Black or African American,TX,,2007
360,Lung,Female,,1.4,,Black or African American,TX,,2008
361,Lung,Female,,2.0,,Black or African American,TX,,2009
362,Lung,Female,,1.5,,Black or African American,TX,,2010
363,Lung,Female,,1.9,,Black or African American,TX,,2011
364,Lung,Female,,1.8,,Black or African American,TX,,2012
365,Lung,Female,,1.2,,Black or African American,TX,,2013
366,Lung,Female,,1.1,,Black or African American,TX,,2014
367,Lung,Female,,1.1,,Black or African American,TX,,2015
368,Lung,Female,,1.3691770745807061,,Black or African American,TX,,2016
369,Lung,Female,,0.7917633020216595,,Black or African American,TX,,2017
370,Lung,Female,,0.497362429955406,,Black or African American,TX,,2018
371,Lung,Female,,0.5036692209477576,,Black or African American,TX,,2019
372,Lung,Female,,0.1451164324611212,,Black or African American,TX,,2020
373,Lung,Female,,0.041280225941906064,,Black or African American,TX,,2021
374,Lung,Female,,0.0,,Black or African American,TX,,2022
375,Lung,Female,,0.03579791700603835,,Black or African American,TX,,2023
376,Lung,Female,,0.0,,Black or African American,TX,,2024
377,Lung,Female,,0.0,,Black or African American,TX,,2025
378,Larynx,Male,98.6,,,White,OH,,1999
379,Larynx,Male,93.0,,,White,OH,,2000
380,Larynx,Male,96.9,,,White,OH,,2001
381,Larynx,Male,95.3,,,White,OH,,2002
382,Larynx,Male,94.4,,,White,OH,,2003
383,Larynx,Male,96.9,,,White,OH,,2004
384,Larynx,Male,97.8,,,White,OH,,2005
385,Larynx,Male,98.2,,,White,OH,,2006
386,Larynx,Male,97.4,,,White,OH,,2007
387,Larynx,Male,98.7,,,White,OH,,2008
388,Larynx,Male,99.0,,,White,OH,,2009
389,Larynx,Male,98.3,,,White,OH,,2010
390,Larynx,Male,98.1,,,White,OH,,2011
391,Larynx,Male,95.9,,,White,OH,,2012
392,Larynx,Male,95.8,,,White,OH,,2013
393,Larynx,Male,98.1,,,White,OH,,2014
394,Larynx,Male,96.3,,,White,OH,,2015
395,Larynx,Male,95.03594626526804,,,White,OH,,2016
396,Larynx,Male,2.313707539432494,,,White,OH,,2017
397,Larynx,Male,34.0320567704975,,,White,OH,,2018
398,Larynx,Male,19.87529706808593,,,White,OH,,2019
399,Larynx,Male,0.0,,,White,OH,,2020
400,Larynx,Male,0.0,,,White,OH,,2021
401,Larynx,Male,8.723292873294856,,,White,OH,,2022
402,Larynx,Male,0.0,,,White,OH,,2023
403,Larynx,Male,0.0,,,White,OH,,2024
404,Larynx,Male,2.176686334066309,,,White,OH,,2025
405,Larynx,Female,50.4,,,White,TX,,1999
406,Larynx,Female,49.9,,,White,TX,,2000
407,Larynx,Female,51.2,,,White,TX,,2001
408,Larynx,Female,51.1,,,White,TX,,2002
409,Larynx,Female,51.7,,,White,TX,,2003
410,Larynx,Female,51.9,,,White,TX,,2004
411,Larynx,Female,51.5,,,White,TX,,2005
412,Larynx,Female,51.5,,,White,TX,,2006
413,Larynx,Female,51.0,,,White,TX,,2007
414,Larynx,Female,50.5,,,White,TX,,2008
415,Larynx,Female,48.6,,,White,TX,,2009
416,Larynx,Female,48.8,,,White,TX,,2010
417,Larynx,Female,45.7,,,White,TX,,2011
418,Larynx,Female,48.1,,,White,TX,,2012
419,Larynx,Female,46.8,,,White,TX,,2013
420,Larynx,Female,47.5,,,White,TX,,2014
421,Larynx,Female,45.8,,,White,TX,,2015
422,Larynx,Female,46.449883077786296,,,White,TX,,2016
423,Larynx,Female,23.210875982355677,,,White,TX,,2017
424,Larynx,Female,0.0,,,White,TX,,2018
425,Larynx,Female,9.938816252158071,,,White,TX,,2019
426,Larynx,Female,0.0,,,White,TX,,2020
427,Larynx,Female,22.087500422610283,,,White,TX,,2021
428,Larynx,Female,0.0,,,White,TX,,2022
429,Larynx,Female,30.711844858042777,,,White,TX,,2023
430,Larynx,Female,0.0,,,White,TX,,2024
431,Larynx,Female,51.26858572582756,,,White,TX,,2025
432,Larynx,Male,83.2,,,White,OR,,1999
433,Larynx,Male,80.7,,,White,OR,,2000
434,Larynx,Male,78.8,,,White,OR,,2001
435,Larynx,Male,80.5,,,White,OR,,2002
436,Larynx,Male,78.0,,,White,OR,,2003
437,Larynx,Male,81.1,,,White,OR,,2004
438,Larynx,Male,82.4,,,White,OR,,2005
439,Larynx,Male,79.7,,,White,OR,,2006
440,Larynx,Male,73.6,,,White,OR,,2007
441,Larynx,Male,77.3,,,White,OR,,2008
442,Larynx,Male,76.4,,,White,OR,,2009
443,Larynx,Male,72.0,,,White,OR,,2010
444,Larynx,Male,73.6,,,White,OR,,2011
445,Larynx,Male,71.3,,,White,OR,,2012
446,Larynx,Male,75.3,,,White,OR,,2013
447,Larynx,Male,72.4,,,White,OR,,2014
448,Larynx,Male,65.2,,,White,OR,,2015
449,Larynx,Male,68.95004829145536,,,White,OR,,2016
450,Larynx,Male,44.552718630253295,,,White,OR,,2017
451,Larynx,Male,74.03837139499552,,,White,OR,,2018
452,Larynx,Male,26.436311665438012,,,White,OR,,2019
453,Larynx,Male,23.88840034349317,,,White,OR,,2020
454,Larynx,Male,27.795456236834067,,,White,OR,,2021
455,Larynx,Male,1.9005430335326012,,,White,OR,,2022
456,Larynx,Male,23.725781241554547,,,White,OR,,2023
457,Larynx,Male,0.0,,,White,OR,,2024
458,Larynx,Male,0.0,,,White,OR,,2025
459,Trachea,Male,,,,White,FL,0.6,1999
460,Trachea,Male,,,,White,FL,0.4,2000
461,Trachea,Male,,,,White,FL,0.4,2001
462,Trachea,Male,,,,White,FL,0.4,2002
463,Trachea,Male,,,,White,FL,0.4,2003
464,Trachea,Male,,,,White,FL,0.2,2004
465,Trachea,Male,,,,White,FL,0.3,2005
466,Trachea,Male,,,,White,FL,0.3,2006
467,Trachea,Male,,,,White,FL,0.3,2007
468,Trachea,Male,,,,White,FL,0.4,2008
469,Trachea,Male,,,,White,FL,0.4,2009
470,Trachea,Male,,,,White,FL,0.3,2010
471,Trachea,Male,,,,White,FL,0.3,2011
472,Trachea,Male,,,,White,FL,0.5,2012
473,Trachea,Male,,,,White,FL,0.4,2013
474,Trachea,Male,,,,White,FL,0.3,2014
475,Trachea,Male,,,,White,FL,0.3,2015
476,Trachea,Male,,,,White,FL,0.3668347211494719,2016
477,Trachea,Male,,,,White,FL,0.1738360061201742,2017
478,Trachea,Male,,,,White,FL,0.2699962700010037,2018
479,Trachea,Male,,,,White,FL,0.20504260664758334,2019
480,Trachea,Male,,,,White,FL,0.07890511873488318,2020
481,Trachea,Male,,,,White,FL,0.13360191841786848,2021
482,Trachea,Male,,,,White,FL,0.10005922556217713,2022
483,Trachea,Male,,,,White,FL,0.015051052382644437,2023
484,Trachea,Male,,,,White,FL,0.07208846598947052,2024
485,Trachea,Male,,,,White,FL,0.05846244055435242,2025
486,Larynx,Male,111.6,,,White,SC,,1999
487,Larynx,Male,102.9,,,White,SC,,2000
488,Larynx,Male,107.2,,,White,SC,,2001
489,Larynx,Male,107.9,,,White,SC,,2002
490,Larynx,Male,107.8,,,White,SC,,2003
491,Larynx,Male,104.7,,,White,SC,,2004
492,Larynx,Male,108.2,,,White,SC,,2005
493,Larynx,Male,106.7,,,White,SC,,2006
494,Larynx,Male,109.1,,,White,SC,,2007
495,Larynx,Male,106.0,,,White,SC,,2008
496,Larynx,Male,106.5,,,White,SC,,2009
497,Larynx,Male,102.9,,,White,SC,,2010
498,Larynx,Male,103.7,,,White,SC,,2011
499,Larynx,Male,104.9,,,White,SC,,2012
500,Larynx,Male,100.8,,,White,SC,,2013
501,Larynx,Male,106.4,,,White,SC,,2014
502,Larynx,Male,102.1,,,White,SC,,2015
503,Larynx,Male,104.6206356882521,,,White,SC,,2016
504,Larynx,Male,95.35861411579252,,,White,SC,,2017
505,Larynx,Male,18.19383030035806,,,White,SC,,2018
506,Larynx,Male,68.31085215130554,,,White,SC,,2019
507,Larynx,Male,0.0,,,White,SC,,2020
508,Larynx,Male,76.88346400941572,,,White,SC,,2021
509,Larynx,Male,0.0,,,White,SC,,2022
510,Larynx,Male,103.79400095582106,,,White,SC,,2023
511,Larynx,Male,0.0,,,White,SC,,2024
512,Larynx,Male,165.4484224251049,,,White,SC,,2025
